S.No,state_code,latitude,longitude,zip_code,city,name,labels,founded_at,closed_at,period,first_funding_at,last_funding_at,Funding period,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,total_rounds,avg_participants,is_top500,status
0,CA,42.35888,-71.05682,92101,San Diego,Bandsintown,1,01-01-2007,12/31/2013,2556,04-01-2009,01-01-2010,275,2.2493,3.0027,4.6685,6.7041,3,3,375000,3,1,0,0,0,music,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,acquired
1,CA,37.238916,-121.973718,95032,Los Gatos,TriCipher,1,01-01-2000,12/31/2013,5113,2/14/2005,12/28/2009,1778,5.126,9.9973,7.0055,7.0055,9,4,40100000,1,1,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,3,4.75,1,acquired
2,CA,32.901049,-117.192656,92121,San Diego,Plixi,1,3/18/2009,12/31/2013,1749,3/30/2010,3/30/2010,0,1.0329,1.0329,1.4575,2.2055,5,1,2600000,2,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,acquired
3,CA,37.320309,-122.05004,95014,Cupertino,Solidcore Systems,1,01-01-2002,12/31/2013,4382,2/17/2005,4/25/2007,797,3.1315,5.3151,6.0027,6.0027,5,3,40000000,1,1,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3.3333,1,acquired
4,CA,37.779281,-122.419236,94105,San Francisco,Inhale Digital,0,08-01-2010,12/31/2013,1248,08-01-2010,04-01-2012,609,0,2,0,0,2,2,1300000,1,1,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,closed
5,CA,37.406914,-122.09037,94043,Mountain View,Matisse Networks,0,01-01-2002,2/15/2009,2602,7/18/2006,7/18/2006,0,5,5,5,5,3,1,7500000,1,1,0,0,0,network_hosting,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,1,closed
6,CA,37.3915589,-122.0702643,94041,Mountain View,RingCube Technologies,1,01-01-2005,12/31/2013,3286,9/21/2006,3/18/2010,1274,1.7205,5.211,3,6.6082,6,3,26000000,2,1,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1.6667,1,acquired
7,CA,38.057107,-122.513742,94901,San Rafael,ClairMail,1,01-01-2004,12/31/2013,3652,8/24/2005,10-04-2010,1867,1.6466,6.7616,5.6055,7.3616,25,3,34100000,3,1,0,0,0,finance,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3,3.5,1,acquired
8,MA,42.712207,-73.203599,1267,Williamstown,VoodooVox,1,01-01-2002,12/31/2013,4382,08-02-2005,02-08-2013,2747,3.5863,11.1123,8.0055,9.9945,13,3,9650000,4,0,0,1,0,mobile,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,2,4,1,acquired
9,CA,37.427235,-122.145783,94306,Palo Alto,Doostang,1,06-01-2005,12/31/2013,3135,02-01-2007,02-05-2010,1100,1.6712,4.6849,2.9178,6.1151,14,3,5750000,4,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,acquired
10,CA,37.4429885,-122.1624131,94025,Menlo Park,Zong,1,11/15/2000,12/31/2013,4794,07-01-2005,4/26/2010,1760,4.6274,9.4493,10.1342,10.6493,22,3,27500000,3,1,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,acquired
11,CA,37.452992,-122.185098,94025,Menlo Park,Center'd,0,01-01-2006,12-02-2011,2161,02-01-2007,05-03-2011,1552,1,5,-1,5,8,5,10400000,2,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1.75,1,closed
12,KY,38.241467,-85.724511,40204,Louisville,Resonant Vibes,0,01-01-2004,4/27/2012,3039,11/25/2008,11/25/2008,0,5,5,0,0,0,1,350000,0,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,closed
13,NY,40.70276,-73.986668,11201,Brooklyn,drop.io,1,11/26/2007,12/31/2013,2227,12-03-2007,05-03-2010,882,0.0192,2.4356,0.7945,4.3781,15,3,9950000,3,0,1,0,0,education,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,3,2.3333,1,acquired
14,CO,39.7462728,-104.9911572,80202,Denver,Stratavia,1,01-01-2001,12/31/2013,4747,8/31/2005,12/29/2009,1581,4.6658,8.9973,8.8384,8.8384,12,5,10700000,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2.5,1,acquired
15,VA,38.901301,-77.265158,22182,Vienna,Invicta Networks,0,01-01-1999,3/28/2010,4104,08-09-2005,08-09-2005,0,7,7,0,0,0,1,200000,0,0,0,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,closed
16,CA,37.3962827,-122.105531,94022,Los Altos,QSecure,0,01-01-2003,9/22/2012,3552,08-02-2005,10-05-2009,1525,3,7,6,6,8,5,49000000,1,1,0,0,0,security,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,4,3.5,1,closed
17,CA,37.590339,-122.341715,94010,Burlingame,MeeVee,1,07-01-2000,12/31/2013,4931,02-01-2005,09-01-2007,942,4.5918,7.1726,-0.4986,12.6795,7,4,25000000,3,1,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,4,3.5,1,acquired
18,NY,40.730646,-73.986614,10004,New York,SinglePlatform,1,01-01-2010,12/31/2013,1460,9/29/2010,08-01-2011,306,0.7425,1.5808,1.2849,3.0027,10,3,4575000,3,0,1,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,1,acquired
19,CA,37.446411,-122.16054,94301,Palo Alto,Bling Nation,0,01-01-2007,09-10-2011,1713,07-02-2009,10/30/2009,120,3,3,3,3,13,2,28000000,3,1,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,closed
20,TX,30.2350399,-97.8001299,78735,Austin,Metreos Corporation,1,01-01-2001,12/31/2013,4747,3/20/2003,10/14/2004,574,2.2137,3.7863,4.0877,9.4986,8,2,4355000,3,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1.5,0,acquired
21,WA,47.6026054,-122.2848651,98122,Seattle,Hidden City Games,0,01-01-2004,9/28/2011,2827,10/31/2007,10/31/2007,0,4,4,4,4,3,1,15000000,1,0,0,0,0,other,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,closed
22,CA,37.426316,-122.141082,94306,Palo Alto,Neopolitan Networks,0,01-01-2002,7/25/2008,2397,6/28/2007,6/28/2007,0,5,5,0,0,1,1,3170000,1,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,closed
23,CA,37.764395,-122.401024,94103,San Francisco,Pixelpipe,0,01-01-2008,08-02-2013,2040,01-01-2007,4/25/2011,1575,-1,3,4,6,4,2,2300000,3,1,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,closed
24,CO,40.010492,-105.276843,80302,Boulder,EventVue,0,05-01-2007,02-01-2010,1007,08-01-2007,09-01-2007,31,0,0,0,0,5,2,455000,0,0,0,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,4.5,1,closed
25,IL,41.875555,-87.624421,60601,Chicago,BridgePort Networks,1,01-01-2002,12/31/2013,4382,11-03-2006,11-03-2006,0,4.8411,4.8411,1,1,3,1,13000000,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,acquired
26,CA,37.429676,-122.1085482,94303,Palo Alto,Scalent Systems,1,01-01-2003,12/31/2013,4017,1/22/2007,1/22/2007,0,4.0603,4.0603,3.0027,3.0027,7,1,15000000,1,1,0,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4,1,acquired
27,CA,37.870102,-122.268136,94704,Berkeley,IQ Engines,1,06-01-2008,12/31/2013,2039,6/25/2012,6/25/2012,0,4.0685,4.0685,3.4192,5.2301,2,1,3800000,3,1,0,0,0,photo_video,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,acquired
28,TX,30.2653441,-97.7435857,78701,Austin,"RetailMeNot, Inc.",1,05-01-2007,12/31/2013,2436,11-01-2009,11-10-2011,739,2.5068,4.5315,4.9315,5.6767,37,5,299500000,2,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,1.75,1,acquired
29,CA,33.708708,-117.852069,92705,Santa Ana,Mophie,1,5/24/2005,12/31/2013,3143,08-01-2006,08-01-2006,0,1.189,1.189,2.189,7.7753,5,1,1000000,3,1,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,acquired
30,CA,37.422859,-122.045217,94035,Moffett Field,Airship Ventures,0,01-01-2007,11/14/2012,2144,05-09-2008,03-01-2009,296,1,2,5,5,3,2,10500000,1,1,0,0,0,other,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,2,1,closed
31,WA,47.603832,-122.330062,98119,Seattle,Lockdown Networks,1,01-01-2001,12/31/2013,4747,2/25/2005,03-02-2006,370,4.1534,5.1671,3,3,6,2,8600000,1,0,0,0,0,public_relations,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1.5,1,acquired
32,NC,36.002893,-78.904075,27701,Durham,eMinor,0,10-01-2006,2/17/2012,1965,08-01-2006,10-07-2008,798,0,2,0,0,9,2,5000000,0,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2.5,1,closed
33,CA,37.779281,-122.419236,94105,San Francisco,Karma,1,01-01-2011,12/31/2013,1095,01-01-2011,11/14/2011,317,0,0.8685,0.4137,2.1671,3,2,2304999,2,1,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,acquired
34,PA,40.441694,-79.990086,15219,Pittsburgh,Zipano,0,06-01-2009,5/27/2012,1091,07-01-2009,07-01-2009,0,0,0,0,0,2,1,25000,0,0,0,0,0,security,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,closed
35,NY,40.73901,-73.997259,10011,New York,Entertainment Media Works,0,07-01-2004,10-01-2008,1553,2/26/2007,2/26/2007,0,3,3,0,0,1,1,4000000,1,0,1,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,closed
36,CA,37.791137,-122.391843,94111,San Francisco,Elastra,0,01-01-2007,1/28/2011,1488,8/15/2007,08-05-2008,356,1,2,1,4,8,2,14600000,3,1,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,1,closed
37,CA,37.404788,-121.940842,95134,San Jose,RPO,0,01-01-2005,06-01-2013,3073,1/24/2006,9/13/2010,1693,1,6,0,0,0,3,44000000,0,1,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,4.5,1,closed
38,CA,37.7795014,-122.3948712,94107,San Francisco,Fotomoto,1,10-01-2008,12/31/2013,1917,12-01-2008,5/26/2011,906,0.1671,2.6493,0.6082,4.7507,10,3,1822922,3,1,0,0,0,ecommerce,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,2.3333,1,acquired
39,NY,40.755446,-73.980246,10010,New York,Peer39,1,03-01-2006,12/31/2013,2862,03-01-2006,1/24/2012,2155,0,5.9041,3.8411,7.137,18,7,29915001,5,0,1,0,0,advertising,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,3,2.75,1,acquired
40,GA,33.756806,-84.392198,30303,Atlanta,Vitrue,1,05-01-2006,12/31/2013,2801,05-01-2006,2/17/2011,1753,0,4.8027,3.7205,7.6164,26,4,33000000,5,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,3,3,1,acquired
41,NH,42.99564,-71.454789,3101,Manchester,Trendslide,1,08-01-2011,12/31/2013,883,08-01-2011,03-01-2012,213,0,0.5836,0.5836,0.5945,9,2,125000,2,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,acquired
42,CA,40.0157332,-105.275027,94025,Menlo Park,PublicEarth,0,01-01-2008,2/15/2011,1141,02-08-2008,5/21/2010,833,0,2,2,3,7,2,4000000,2,1,0,0,0,travel,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,closed
43,WA,47.63609,-122.327028,98102,Seattle,Azaleos,1,05-11-2004,12/31/2013,3521,11-06-2007,11-06-2007,0,3.4904,3.4904,5.6603,8.3425,10,1,10000000,3,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,acquired
44,CA,37.4049731,-122.0323525,94089,Sunnyvale,Efficient Frontier,1,01-01-2002,12/31/2013,4382,8/31/2006,8/31/2006,0,4.6658,4.6658,8.7425,10.2247,25,1,6000000,4,1,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,1,acquired
45,CA,37.36883,-122.03635,94085,Sunnyvale,NetDevices,1,01-01-2003,12/31/2013,4017,8/16/2005,8/16/2005,0,2.6247,2.6247,0,0,4,1,25000000,0,1,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,1,acquired
46,NY,40.730646,-73.986614,100011,New York,Go Try It On,1,12-01-2009,12/31/2013,1491,11-04-2010,11/13/2012,740,0.926,2.9534,0.8329,2.7425,2,3,3750000,3,0,1,0,0,fashion,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,1,acquired
47,MA,42.3751,-71.105616,2139,Cambridge,Performable,1,10/17/2009,12/31/2013,1536,1/15/2010,1/15/2010,0,0.2466,0.2466,1.1178,1.663,9,1,3000000,2,0,0,1,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,acquired
48,CA,37.779281,-122.419236,94607,San Francisco,Appstores.com,1,5/24/2010,12/31/2013,1317,08-01-2010,08-01-2011,365,0.189,1.189,1.3562,1.6575,6,2,1155000,2,1,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,1,acquired
49,CA,37.560781,-122.284114,94404,San Mateo,Fortify Software,1,10-01-2002,12/31/2013,4109,12/15/2005,12/15/2005,0,3.2082,3.2082,5.2548,7.8822,11,1,10000000,2,1,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,acquired
50,CA,37.658313,-122.391032,94080,South San Francisco,iCurrent,1,01-01-2006,12/31/2013,2921,08-01-2008,08-01-2008,0,2.5836,2.5836,2,2,5,1,3000000,1,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,acquired
51,MA,42.360253,-71.058291,2210,Boston,AisleBuyer,1,01-01-2009,12/31/2013,1825,11/23/2010,6/13/2011,202,1.8932,2.4466,2,3.2767,4,2,11500000,3,0,0,1,0,mobile,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,acquired
52,TX,30.321464,-97.75501,78731,Austin,Indeed,1,11-01-2004,12/31/2013,3347,08-01-2005,08-01-2005,0,0.7479,0.7479,4.0493,8.3233,12,1,5000000,5,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,acquired
53,MA,42.37564,-71.2358,2451,Waltham,Colubris Networks,1,01-01-2000,12/31/2013,5113,03-08-2005,10/23/2006,594,5.1863,6.8137,7.3342,7.3342,9,2,29000000,1,0,0,1,0,public_relations,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,5,1,acquired
54,CA,37.7870842,-122.4038047,94103,San Francisco,Mashery,1,05-01-2006,12/31/2013,2801,01-01-2007,7/23/2012,2030,0.6712,6.2329,4.0493,7.5973,37,6,34700000,4,1,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,4,5,1,acquired
55,CA,37.441537,-122.158332,94301,Palo Alto,Transparency Software,0,01-01-2004,01-01-2009,1827,03-09-2005,07-01-2007,844,1,3,0,0,0,2,12050000,0,1,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,1,closed
56,CA,37.445586,-122.161929,95128,Palo Alto,Viewdle,1,01-01-2006,12/31/2013,2921,03-01-2008,10-05-2010,948,2.1644,4.7616,4.0027,6.7534,13,3,12000000,2,1,0,0,0,analytics,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,2,1,acquired
57,CA,33.5842816,-117.7306817,92656,Aliso Viejo,Enclarity,1,02-01-2005,12/31/2013,3255,03-10-2009,03-10-2009,0,4.1041,4.1041,1.9151,1.9151,18,1,5500000,1,1,0,0,0,consulting,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,1,acquired
58,CA,37.402773,-122.052551,94089,Sunnyvale,Virsto Software,1,07-01-2007,12/31/2013,2375,6/26/2009,8/25/2011,790,1.989,4.1534,2.8986,5.2575,10,3,24000000,4,1,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3.3333,1,acquired
59,MO,39.103151,-94.581908,64106,Kansas City,Handmark,1,07-01-2000,12/31/2013,4931,09-12-2005,09-07-2006,360,5.2027,6.189,7.5068,12.8932,6,2,10000000,2,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4.5,1,acquired
60,MA,42.546483,-71.173667,1887,Wilmington,Viacor,0,12-01-1999,11-11-2011,4363,09-12-2002,11-10-2010,2981,3,11,-2,-2,10,3,19009671,1,0,0,1,0,biotech,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,1,closed
61,CA,37.805289,-122.404448,94111,San Francisco,Carbonetworks,0,01-01-2005,7/28/2011,2399,07-01-2008,07-01-2008,0,3,3,3,3,6,1,5000000,1,1,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,closed
62,WA,47.675489,-122.191667,98033-6314,Kirkland,SchemaLogic,1,01-01-2001,12/31/2013,4747,1/17/2005,4/20/2010,1919,4.0466,9.3041,6.0027,6.0027,2,5,18914576,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,3,1,acquired
63,FL,27.951849,-82.456397,33609,Tampa,Skyway Software,0,01-01-2001,10-01-2012,4291,5/16/2007,5/16/2007,0,6,6,0,0,0,1,4000000,0,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,closed
64,MA,42.360253,-71.058291,02111-1720,Boston,CardStar,1,12-01-2008,12/31/2013,1856,3/30/2010,9/13/2011,532,1.326,2.7836,1.674,3.1342,5,3,2030882,2,0,0,1,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,acquired
